@relation 'Cell Measurements'

@attribute Id {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156}
@attribute Measurement {Sig_01_Tot,Sig_01_Window,Sig_02_Tot,Sig_02_Window,Sig_03_Tot,Sig_03_Window,Sig_04_Tot,Sig_04_Window,Sig_10_Tot,Sig_10_Window,Sig_12_Tot,Sig_12_Window,Sig_13_Tot,Sig_13_Window,Sig_14_Tot,Sig_14_Window,Sig_20_Tot,Sig_20_Window,Sig_21_Tot,Sig_21_Window,Sig_23_Tot,Sig_23_Window,Sig_24_Tot,Sig_24_Window,Sig_30_Tot,Sig_30_Window,Sig_31_Tot,Sig_31_Window,Sig_32_Tot,Sig_32_Window,Sig_34_Tot,Sig_34_Window,Sig_40_Tot,Sig_40_Window,Sig_41_Tot,Sig_41_Window,Sig_42_Tot,Sig_42_Window,Sig_43_Tot,Sig_43_Window,n}
@attribute x {0}
@attribute y {0}
@attribute Value numeric

@data
5,Sig_40_Tot,0,0,303500
5,Sig_40_Window,0,0,91741.476462
5,Sig_41_Tot,0,0,303500
5,Sig_41_Window,0,0,72132.355042
5,Sig_42_Tot,0,0,303500
5,Sig_42_Window,0,0,80188.86074
5,Sig_43_Tot,0,0,303500
5,Sig_43_Window,0,0,99087.729231
5,n,0,0,2873
6,Sig_01_Tot,0,0,98926749
6,Sig_01_Window,0,0,11970037.651064
6,Sig_02_Tot,0,0,98926749
6,Sig_02_Window,0,0,2867473.47816
6,Sig_03_Tot,0,0,98926749
6,Sig_03_Window,0,0,7027023.947368
6,Sig_04_Tot,0,0,98926749
6,Sig_04_Window,0,0,1513012.656863
6,Sig_10_Tot,0,0,21976241
6,Sig_10_Window,0,0,763913.119691
6,Sig_12_Tot,0,0,21976241
6,Sig_12_Window,0,0,98727.428571
6,Sig_13_Tot,0,0,21976241
6,Sig_13_Window,0,0,270065.142857
6,Sig_14_Tot,0,0,21976241
6,Sig_14_Window,0,0,71505.752809
6,Sig_20_Tot,0,0,36455103
6,Sig_20_Window,0,0,1546160.579399
6,Sig_21_Tot,0,0,36455103
6,Sig_21_Window,0,0,5727191.608712
6,Sig_23_Tot,0,0,36455103
6,Sig_23_Window,0,0,2375639.521277
6,Sig_24_Tot,0,0,36455103
6,Sig_24_Window,0,0,3123798.573171
6,Sig_30_Tot,0,0,7089210
6,Sig_30_Window,0,0,67944.195742
6,Sig_31_Tot,0,0,7089210
6,Sig_31_Window,0,0,144012.06422
6,Sig_32_Tot,0,0,7089210
6,Sig_32_Window,0,0,366751.539235
6,Sig_34_Tot,0,0,7089210
6,Sig_34_Window,0,0,72318.318182
6,Sig_40_Tot,0,0,1591003
6,Sig_40_Window,0,0,172854.199128
6,Sig_41_Tot,0,0,1591003
6,Sig_41_Window,0,0,195566.714197
6,Sig_42_Tot,0,0,1591003
6,Sig_42_Window,0,0,44072.024624
6,Sig_43_Tot,0,0,1591003
6,Sig_43_Window,0,0,316415.324123
6,n,0,0,15704
7,Sig_01_Tot,0,0,9982269
7,Sig_01_Window,0,0,3154.289754
7,Sig_02_Tot,0,0,9982269
7,Sig_02_Window,0,0,3678.153697
7,Sig_03_Tot,0,0,9982269
7,Sig_03_Window,0,0,3650.028412
7,Sig_04_Tot,0,0,9982269
7,Sig_04_Window,0,0,7267.008197
7,Sig_10_Tot,0,0,44175828
7,Sig_10_Window,0,0,2854.523592
7,Sig_12_Tot,0,0,44175828
7,Sig_12_Window,0,0,89666.299668
7,Sig_13_Tot,0,0,44175828
7,Sig_13_Window,0,0,141711.412371
7,Sig_14_Tot,0,0,44175828
7,Sig_14_Window,0,0,8865.75
7,Sig_20_Tot,0,0,134947781
7,Sig_20_Window,0,0,1557408.147806
